name,parent_id,description,is_job_category,price_optional,sequence
"Majice",3768,,0,0,1
"Dukserice",3768,,0,0,2
"Džemperi",3768,,0,0,3
"Jakne i kaputi",3768,,0,0,4
"Košulje",3768,,0,0,5
"Hlače",3768,,0,0,6
"Farmerke",3768,,0,0,7
"Šorcevi",3768,,0,0,8
"Trenerke",3768,,0,0,9
"Pidžame",3768,,0,0,10
"Donje rublje",3768,,0,0,11
"Kupaći kostimi",3768,,0,0,12
"Svečana odjeća",3768,,0,0,13
"Patike",3769,,0,0,1
"Cipele",3769,,0,0,2
"Čizme",3769,,0,0,3
"Sandale",3769,,0,0,4
"Papuče",3769,,0,0,5
"Sportska obuća",3769,,0,0,6
"Kape",3770,,0,0,1
"Šalovi",3770,,0,0,2
"Rukavice",3770,,0,0,3
"Naočale",3770,,0,0,4
"Satovi",3770,,0,0,5
"Kaisevi",3770,,0,0,6
"Ruksaci",3771,,0,0,1
"Školske torbe",3771,,0,0,2
"Sportske torbe",3771,,0,0,3
"Sportske majice",3772,,0,0,1
"Sportske trenerke",3772,,0,0,2
"Sportski šorcevi",3772,,0,0,3
"Sportske jakne",3772,,0,0,4
"Patike za trening",3772,,0,0,5
"Zimski setovi",3773,,0,0,1
"Ljetni dodaci",3773,,0,0,2
"Majice i topovi",3774,,0,0,1
"Dukserice",3774,,0,0,2
"Džemperi i kardigani",3774,,0,0,3
"Jakne i kaputi",3774,,0,0,4
"Košulje i bluze",3774,,0,0,5
"Hlače",3774,,0,0,6
"Farmerke",3774,,0,0,7
"Šorcevi",3774,,0,0,8
"Suknje",3774,,0,0,9
"Haljine",3774,,0,0,10
"Trenerke",3774,,0,0,11
"Pidžame",3774,,0,0,12
"Donje rublje",3774,,0,0,13
"Kupaći kostimi",3774,,0,0,14
"Svečana odjeća",3774,,0,0,15
"Patike",3775,,0,0,1
"Cipele",3775,,0,0,2
"Čizme",3775,,0,0,3
"Sandale",3775,,0,0,4
"Papuče",3775,,0,0,5
"Baletanke",3775,,0,0,6
"Sportska obuća",3775,,0,0,7
"Kape",3776,,0,0,1
"Šalovi",3776,,0,0,2
"Rukavice",3776,,0,0,3
"Naočale",3776,,0,0,4
"Satovi",3776,,0,0,5
"Nakit",3776,,0,0,6
"Ruksaci",3777,,0,0,1
"Školske torbe",3777,,0,0,2
"Sportske torbe",3777,,0,0,3
"Torbice",3777,,0,0,4
"Sportske majice",3778,,0,0,1
"Sportske trenerke",3778,,0,0,2
"Sportski šorcevi",3778,,0,0,3
"Sportske jakne",3778,,0,0,4
"Patike za trening",3778,,0,0,5
"Zimski setovi",3779,,0,0,1
"Ljetni dodaci",3779,,0,0,2
"Bodići",3780,,0,0,1
"Kombinezoni",3780,,0,0,2
"Majice",3780,,0,0,3
"Hlačice",3780,,0,0,4
"Haljine",3780,,0,0,5
"Jakne",3780,,0,0,6
"Pidžame",3780,,0,0,7
"Čarapice",3780,,0,0,8
"Kapice",3780,,0,0,9
"Prve cipelice",3781,,0,0,1
"Papučice",3781,,0,0,2
"Čizmice",3781,,0,0,3
"Sandalice",3781,,0,0,4
"Kolica",3782,,0,0,1
"Autosjedalice",3782,,0,0,2
"Krevetići",3782,,0,0,3
"Hranilice i stolice",3782,,0,0,4
"Nosiljke i kenguri",3782,,0,0,5
"Oprema za kupanje",3782,,0,0,6
"Oprema za hranjenje",3782,,0,0,7
"Igračke za bebe",3782,,0,0,8
"Zimski setovi",3783,,0,0,1
"Ljetni dodaci",3783,,0,0,2
"Majice",3784,,0,0,1
"Dukserice",3784,,0,0,2
"Džemperi",3784,,0,0,3
"Jakne i kaputi",3784,,0,0,4
"Hlače",3784,,0,0,5
"Farmerke",3784,,0,0,6
"Šorcevi",3784,,0,0,7
"Trenerke",3784,,0,0,8
"Pidžame",3784,,0,0,9
"Kupaći kostimi",3784,,0,0,10
"Patike",3785,,0,0,1
"Cipele",3785,,0,0,2
"Čizme",3785,,0,0,3
"Sandale",3785,,0,0,4
"Papuče",3785,,0,0,5
"Sportska obuća",3785,,0,0,6
"Kape",3786,,0,0,1
"Šalovi",3786,,0,0,2
"Rukavice",3786,,0,0,3
"Naočale",3786,,0,0,4
"Satovi",3786,,0,0,5
"Ruksaci",3787,,0,0,1
"Školske torbe",3787,,0,0,2
"Sportske torbe",3787,,0,0,3
"Sportske majice",3788,,0,0,1
"Sportske trenerke",3788,,0,0,2
"Sportski šorcevi",3788,,0,0,3
"Sportske jakne",3788,,0,0,4
"Patike za trening",3788,,0,0,5
"Zimski setovi",3789,,0,0,1
"Ljetni dodaci",3789,,0,0,2
