name,type,required,status,values,category_ids
"Model",dropdown,1,1,"500|500C|595|595C|595 Pista|595 Turismo|595 Competizione|595 Esseesse|595 Scorpioneoro|595 Monster Energy Yamaha|695|695C|695 Tributo Ferrari|695 Edizione Maserati|695 Biposto|695 Rivale|695 70th Anniversary|695 Esseesse (New)|695 Tributo 131 Rally|124 Spider|124 GT|500e (Electric)|600e (Electric)|Grande Punto|Grande Punto Esseesse|Punto Evo|Punto Scorpione|Ritmo Abarth|1000 TC|850 TC|Simca Abarth|Fastback (Brazil)|Pulse (Brazil)","1627"
"Model",dropdown,1,1,"CL|CSX|EL|ILX|Integra (Classic)|Integra (2022+)|Legend|MDX|NSX (Classic)|NSX (2016-2022)|RDX|RL|RLX|RSX|SLX|TL|TLX|TSX|Vigor|ZDX|ADX|Precision EV","1628"
"Model",dropdown,1,1,"33|75|90|145|146|147|155|156|159|164|166|1750|2000|4C|6C|8C|Alfasud|Alfetta|Arna|Brera|Giulia (Classic)|Giulia (Modern)|Giulietta (Classic)|Giulietta (Modern)|GT|GTV|GTV6|Junior|Junior Zagato|Milano|MiTo|Montreal|Spider (Classic)|Spider (Modern)|Sprint|Stelvio|Tonale|SZ/RZ","1629"
"Model",dropdown,1,1,"A106|A108|A110 (Classic)|A110 (Modern)|A110 S|A110 GT|A110 R|A290|A310|A610|GTA|GT4","1630"
"Model",dropdown,1,1,"Cygnet|DB11|DB12|DB4|DB5|DB6|DB7|DB9|DBS (Classic)|DBS (Modern)|DBS Superleggera|DBX|DBX707|Lagonda|Rapide|V12 Vantage|V8 Vantage (Classic)|V8 Vantage (Modern)|Vanquish (Classic)|Vanquish (2024+)|Vantage (2024)|Vantage (Classic)|Virage|Vulcan|Valkyrie|Valhalla|One-77|Zagato","1631"
"Model",dropdown,1,1,"50|60|75|80|90|100|200|A1|A2|A3 (8L)|A3 (8P)|A3 (8V)|A3 (8Y)|A4 (B5)|A4 (B6)|A4 (B7)|A4 (B8)|A4 (B9)|A5|A6 (C4)|A6 (C5)|A6 (C6)|A6 (C7)|A6 (C8)|A7|A8 (D2)|A8 (D3)|A8 (D4)|A8 (D5)|Q2|Q3|Q4 e-tron|Q5|Q6 e-tron|Q7|Q8|Q8 e-tron|R8|RS Q3|RS Q8|RS3|RS4|RS5|RS6|RS7|RSQ e-tron|S1|S3|S4|S5|S6|S7|S8|SQ2|SQ5|SQ7|SQ8|TT|TTS|TT RS|V8|e-tron|e-tron GT|RS e-tron GT|Quattro","1632"
"Model",dropdown,1,1,"Arnage|Azure|Bentayga|Bentayga EWB|Brooklands|Continental GT|Continental GTC|Continental Flying Spur|Continental R|Continental T|Eight|Flying Spur (Modern)|Mulsanne|Speed Six|Turbo R|Turbo RT|Batur|Bacalar","1633"
"Model",dropdown,1,1,"Serija 1 (E81/E82/E87/E88)|Serija 1 (F20/F21)|Serija 1 (F40)|Serija 2 (F22/F23)|Serija 2 (F44/F45/F46)|Serija 2 (G42)|Serija 2 Active Tourer (U06)|Serija 3 (E21)|Serija 3 (E30)|Serija 3 (E36)|Serija 3 (E46)|Serija 3 (E90/E91/E92/E93)|Serija 3 (F30/F31/F34)|Serija 3 (G20/G21)|Serija 4 (F32/F33/F36)|Serija 4 (G22/G23/G26)|Serija 5 (E12)|Serija 5 (E28)|Serija 5 (E34)|Serija 5 (E39)|Serija 5 (E60/E61)|Serija 5 (F10/F11)|Serija 5 (G30/G31)|Serija 5 (G60/G61)|Serija 6 (E24)|Serija 6 (E63/E64)|Serija 6 (F06/F12/F13)|Serija 6 GT (G32)|Serija 7 (E23)|Serija 7 (E32)|Serija 7 (E38)|Serija 7 (E65/E66)|Serija 7 (F01/F02)|Serija 7 (G11/G12)|Serija 7 (G70)|Serija 8 (E31)|Serija 8 (G14/G15/G16)|M2|M3|M4|M5|M6|M8|X1 (E84)|X1 (F48)|X1 (U11)|X2 (F39)|X2 (U10)|X3 (E83)|X3 (F25)|X3 (G01)|X3 (G45)|X4 (F26)|X4 (G02)|X5 (E53)|X5 (E70)|X5 (F15)|X5 (G05)|X6 (E71)|X6 (F16)|X6 (G06)|X7 (G07)|XM|Z1|Z3|Z4 (E85/E86)|Z4 (E89)|Z4 (G29)|Z8|i3|i4|i5|i7|i8|iX|iX1|iX2|iX3","1634"
"Model",dropdown,1,1,"Chiron|Chiron Sport|Chiron Pur Sport|Chiron Super Sport|Divo|EB 110|Mistral|Tourbillon|Veyron|Veyron Super Sport|Veyron Grand Sport|Bolide|Centodieci|La Voiture Noire|Type 35|Type 57","1635"
"Model",dropdown,1,1,"Cascada|Century|Electra|Enclave|Encore|Encore GX|Envision|Envista|GL8|LaCrosse|LeSabre|Lucerne|Park Avenue|Regal|Rendezvous|Riviera|Roadmaster|Skylark|Terraza|Verano|Wildcat EV","1636"
"Model",dropdown,1,1,"Atto 3|Dolphin|Dolphin Mini|e2|e6|F3|Han|Qin|Qin Plus|Seal|Seal U|Seagull|Song|Song Plus|Tang|Yuan|Yuan Plus","1637"
