id,name,parent_id,description,is_job_category,price_optional,sequence
2,Vozila,,,0,1,1
3,Nekretnine,,,0,1,2
8,Mobiteli,,,0,1,3
7,Računari,,,0,1,4
6,Tehnika,,,0,1,5
160,"Video igre i konzole",,,0,1,6
223,"Moj dom",,,0,1,7
166,"Muzika i audio oprema",,,0,1,8
172,Literatura,,,0,1,9
181,"Umjetnost i dekoracija",,,0,1,10
189,Kolekcionarstvo,,,0,1,11
209,Antikviteti,,,0,1,12
271,"Karte i ulaznice",,,0,1,13
243,"Hrana i piće",,,0,1,14
122,Bebe,,,0,1,15
149,"Igre i igračke",,,0,1,16
9,"Moda i ljepota",,,0,1,17
253,"Nakit i satovi",,,0,1,18
5,"Odjeća i obuća",,,0,1,19
11,"Sport i rekreacija",,,0,1,20
10,"Biznis i industrija",,,0,1,21
4,Životinje,,,0,1,22
12,Ostalo,,,0,1,23
3693,"ATV / UTV / Quad",2,,0,1,1
3429,"Autobusi i minibusi",2,,0,1,1
13,Automobili,2,,0,1,1
3439,"Radne mašine",2,,0,1,1
14,Motocikli,2,,0,1,2
3440,"Vozila za snijeg",2,,0,1,2
15,"Teretna i dostavna",2,,0,1,3
3432,"Kamp prikolice i kamping vozila",2,,0,1,4
16,Nautika,2,,0,1,4
1134,Bicikli,2,,0,1,5
17,"Dijelovi i oprema",2,,0,1,6
3435,"Poljoprivredna vozila i mašine",2,,0,1,7
3436,"Prikolice i poluprikolice",2,,0,1,8
25,Garaže,3,,0,1,0
21,Kuće,3,,0,1,0
23,"Poslovni prostori",3,,0,1,0
27,"Skladišta i hale",3,,0,1,0
20,"Smeštaj na dan",3,,0,1,0
24,Sobe,3,,0,1,0
19,"Stanovi i Apartmani",3,,0,1,0
22,Vikendice,3,,0,1,0
26,Zemljišta,3,,0,1,0
28,"Domaće životinje",4,,0,1,0
29,"Kućni ljubimci",4,,0,1,0
30,"Oprema za životinje",4,,0,1,0
31,Ostalo,4,,0,1,0
33,Muškarci,5,,0,1,0
32,Žene,5,,0,1,0
3764,Dječaci,5,,0,0,1
3765,Djevojčice,5,,0,0,2
3766,Bebe,5,,0,0,3
3767,Unisex,5,,0,0,4
39,"TV uređaji, oprema i dijelovi",6,,0,1,1
37,"Bijela tehnika",6,,0,1,2
41,"Dronovi i RC letjelice",6,,0,1,3
40,"Kamere i fotoaparati",6,,0,1,4
38,"Multimedija i audio oprema",6,,0,1,5
43,"Bluetooth i bežični zvučnici",6,,0,1,6
